id|input|aspect|context|sentiment
2495|бивштексы|Food|Заказывали бивштексы, нет слов как вкусно))) Готовят очень быстро и главное качественно, сразу чувствуется, что там работают мастера своего дела!|positive
2495|обслуживание|Service|Спасибо огромное за хорошее обслуживание, приятную атмосферу и гостеприимных официантов!|positive
2495|атмосферу|Interior|Спасибо огромное за хорошее обслуживание, приятную атмосферу и гостеприимных официантов!|positive
2495|официантов|Service|Спасибо огромное за хорошее обслуживание, приятную атмосферу и гостеприимных официантов!|positive
2495|место|Whole|Надеемся еще не раз посетить это замечательное, уютное место с великолепной кухней и доброжелательным персоналом.|positive
2495|кухней|Food|Надеемся еще не раз посетить это замечательное, уютное место с великолепной кухней и доброжелательным персоналом.|positive
2495|персоналом|Service|Надеемся еще не раз посетить это замечательное, уютное место с великолепной кухней и доброжелательным персоналом.|positive
38835|заведении|Whole|Отметили с мужем годовщину свадьбы 6 ноября в этом заведении.|neutral
38835|сервисом|Service|в целом остались довольны, особенно сервисом.|positive
38835|Встретила|Service|Встретила нас прямо у входа девушка, проводила до нашего столика, весь персонал нам улыбался и здоровался.|positive
38835|девушка|Service|Встретила нас прямо у входа девушка, проводила до нашего столика, весь персонал нам улыбался и здоровался.|positive
38835|персонал|Service|Встретила нас прямо у входа девушка, проводила до нашего столика, весь персонал нам улыбался и здоровался.|positive
38835|официант|Service|для цветов наш официант Сергей сразу принес вазу.|positive
38835|утку по-пекински|Food|Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.|neutral
38835|салата|Food|Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.|neutral
38835|свинину в кисло-сладком соусе|Food|Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.|neutral
38835|свинину|Food|Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.|neutral
38835|кальян|Food|Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.|neutral
38835|вина|Food|Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.|neutral
38835|десерт|Food|Мы заказали утку по-пекински, 2 салата, свинину в кисло-сладком соусе, еще какую то свинину, кальян, бутылку вина и один десерт и вышло нам все это на 5500.|neutral
38835|Утка|Food|Утка оказалась очень маленькой, хотя нам сказали, что 4 человека просто объедятся и упадут=)Но впринципе мы наелись вдвоем и достатолчно вкусно.|negative
38835|объедятся|Food|Утка оказалась очень маленькой, хотя нам сказали, что 4 человека просто объедятся и упадут=)Но впринципе мы наелись вдвоем и достатолчно вкусно.|positive
38835|Свинина|Food|Свинина мне не понравилась.|negative
38835|ресторанах|Whole|Раньше в других ресторанах я ела намного вкуснее.|positive
38835|ресторан|Whole|На мой взгляд ресторан не из дешевых, цены как в европейском меню и порции такие же, как европейские.|negative
38835|цены|Price|На мой взгляд ресторан не из дешевых, цены как в европейском меню и порции такие же, как европейские.|negative
38835|меню|Food|На мой взгляд ресторан не из дешевых, цены как в европейском меню и порции такие же, как европейские.|negative
38835|порции|Food|На мой взгляд ресторан не из дешевых, цены как в европейском меню и порции такие же, как европейские.|negative
38835|впечатление|Whole|Хоть осталось неплохое впечатление, но снова туда не пойдем, восторга не возникло, несмотря на отличное обслуживание.|both
38835|обслуживание|Service|Хоть осталось неплохое впечатление, но снова туда не пойдем, восторга не возникло, несмотря на отличное обслуживание.|positive
38835|еды|Food|Ожидала более вкусной еды...|positive
1368|пабе|Whole|Впервые побывала в этом пабе совсем недавно и могу сказать, что это весьма неплохое место!|positive
1368|место|Whole|Впервые побывала в этом пабе совсем недавно и могу сказать, что это весьма неплохое место!|positive
1368|интерьер|Interior|Очень понравился интерьер - чисто пабовский, но при этом ненавязчивый и комфортный.|positive
1368|Атмосфера|Interior|Атмосфера что надо - располагает к веселью и дружескому общению.|positive
1368|обслуживания|Service|Что касается обслуживания, то для субботнего вечера вполне приемлемо.|positive
1368|официант|Service|При входе нам предложили один из немногих свободных столиков, затем через пару минут официант принес меню.|neutral
1368|принес меню|Service|При входе нам предложили один из немногих свободных столиков, затем через пару минут официант принес меню.|neutral
1368|выбор пива|Food|Порадовал широкий выбор пива, прочего алкоголя, а также закусок и различных блюд на любой вкус.|positive
1368|алкоголя|Food|Порадовал широкий выбор пива, прочего алкоголя, а также закусок и различных блюд на любой вкус.|positive
1368|закусок|Food|Порадовал широкий выбор пива, прочего алкоголя, а также закусок и различных блюд на любой вкус.|positive
1368|блюд|Food|Порадовал широкий выбор пива, прочего алкоголя, а также закусок и различных блюд на любой вкус.|positive
1368|меню|Food|Была удивлена таким обширным меню в пабе!|positive
1368|пабе|Whole|Была удивлена таким обширным меню в пабе!|neutral
1368|официантки|Service|Из недочетов можно отметить забывчивость официантки - друг дождался своих сигарет только после третьей просьбы.|negative
1368|обслуживанием|Service|Но это можно компенсировать весьма вежливым обслуживанием.|positive
1368|пиво|Food|Из заказанного понравилось пиво – наивкуснейшее!|positive
1368|Коктейли|Food|Коктейли тоже на неплохом уровне.|positive
1368|гренкам|Food|К гренкам и стейку претензий нет, в цезаре приправ многовато.|positive
1368|стейку|Food|К гренкам и стейку претензий нет, в цезаре приправ многовато.|positive
1368|цезаре|Food|К гренкам и стейку претензий нет, в цезаре приправ многовато.|negative
1368|приправ|Food|К гренкам и стейку претензий нет, в цезаре приправ многовато.|negative
1368|суши|Food|А вот суши совсем разочаровали – не пабовское это блюдо все-таки!|negative
1368|блюдо|Food|А вот суши совсем разочаровали – не пабовское это блюдо все-таки!|neutral
1368|ждать счет|Service|В конце пришлось долго ждать счет, а затем еще сдачу ждали минут 15.|negative
1368|сдачу ждали|Service|В конце пришлось долго ждать счет, а затем еще сдачу ждали минут 15.|negative
1368|ценам|Price|По ценам, кстати, тоже нормально все – средние для подобных заведений, не завышенные как у многих.|positive
1368|заведений|Whole|По ценам, кстати, тоже нормально все – средние для подобных заведений, не завышенные как у многих.|neutral
7890|меню|Food|Из меню я пробовала салат с рыбой - ооочень вкусно, друзья брали и холодные закуски и горЯчее, все остались довольны, действительно достойная русская кухня!|neutral
7890|салат с рыбой|Food|Из меню я пробовала салат с рыбой - ооочень вкусно, друзья брали и холодные закуски и горЯчее, все остались довольны, действительно достойная русская кухня!|positive
7890|холодные закуски|Food|Из меню я пробовала салат с рыбой - ооочень вкусно, друзья брали и холодные закуски и горЯчее, все остались довольны, действительно достойная русская кухня!|positive
7890|горЯчее|Food|Из меню я пробовала салат с рыбой - ооочень вкусно, друзья брали и холодные закуски и горЯчее, все остались довольны, действительно достойная русская кухня!|positive
7890|кухня|Food|Из меню я пробовала салат с рыбой - ооочень вкусно, друзья брали и холодные закуски и горЯчее, все остались довольны, действительно достойная русская кухня!|positive
7890|интерьер|Interior|"Прекрасный, уютный интерьер, музыка просто слух радовала... Персонал весь очень приветливый - и администратор и официанты, сервис на уровне, абсолютно ничего не напрягало и вечер прошел на ""ура""!"|positive
7890|музыка|Interior|"Прекрасный, уютный интерьер, музыка просто слух радовала... Персонал весь очень приветливый - и администратор и официанты, сервис на уровне, абсолютно ничего не напрягало и вечер прошел на ""ура""!"|positive
7890|Персонал|Service|"Прекрасный, уютный интерьер, музыка просто слух радовала... Персонал весь очень приветливый - и администратор и официанты, сервис на уровне, абсолютно ничего не напрягало и вечер прошел на ""ура""!"|positive
7890|администратор|Service|"Прекрасный, уютный интерьер, музыка просто слух радовала... Персонал весь очень приветливый - и администратор и официанты, сервис на уровне, абсолютно ничего не напрягало и вечер прошел на ""ура""!"|positive
7890|официанты|Service|"Прекрасный, уютный интерьер, музыка просто слух радовала... Персонал весь очень приветливый - и администратор и официанты, сервис на уровне, абсолютно ничего не напрягало и вечер прошел на ""ура""!"|positive
7890|сервис|Service|"Прекрасный, уютный интерьер, музыка просто слух радовала... Персонал весь очень приветливый - и администратор и официанты, сервис на уровне, абсолютно ничего не напрягало и вечер прошел на ""ура""!"|positive
6668|ресторанчик|Whole|Мы посетили этот замечательный ресторанчик поздним вечером, ближе к полуночи, когда уже нигде не кормили по-настоящему.|positive
6668|Квартиру №55|Whole|"""Квартиру №55"" выбрали из-за расположения и графика работы, ну и отзывы неплохие."|positive
6668|Накормили|Food|Накормили и напоили нас в эту холодную ночь замечательно вкусно.|positive
6668|напоили|Food|Накормили и напоили нас в эту холодную ночь замечательно вкусно.|positive
6668|сервис|Service|Не хочется употреблять слова сервис, обслуживание, т.к.|neutral
6668|обслуживание|Service|Не хочется употреблять слова сервис, обслуживание, т.к.|neutral
6668|"не ""обслуживали"""|Service|"нас не ""обслуживали"", а радушно встречали, очень по-домашнему."|negative
6668|встречали|Service|"нас не ""обслуживали"", а радушно встречали, очень по-домашнему."|positive
6668|Помогли с заказом|Service|Помогли с заказом, посоветовали хорошее и недорогое вино.|positive
6668|посоветовали|Service|Помогли с заказом, посоветовали хорошее и недорогое вино.|positive
6668|вино|Food|Помогли с заказом, посоветовали хорошее и недорогое вино.|positive
6668|ресторане|Whole|Правда, заказ принесли не быстро, хотя кроме нас в ресторане было занято всего 2 столика и там уже люди давно сидели, пили чай.|neutral
6668|пили|Food|Правда, заказ принесли не быстро, хотя кроме нас в ресторане было занято всего 2 столика и там уже люди давно сидели, пили чай.|neutral
6668|чай|Food|Правда, заказ принесли не быстро, хотя кроме нас в ресторане было занято всего 2 столика и там уже люди давно сидели, пили чай.|neutral
6668|Салаты|Food|Салаты готовили минут 20, потом еще ждали горячее.|neutral
6668|горячее|Food|Салаты готовили минут 20, потом еще ждали горячее.|neutral
6668|вина|Food|Мы скоротали время за бутылочкой вина.|neutral
6668|пожарские котлеты|Food|Гостям очень понравились пожарские котлеты и тушеная телятина.|positive
6668|тушеная телятина|Food|Гостям очень понравились пожарские котлеты и тушеная телятина.|positive
6668|буженину на гриле|Food|Я брала буженину на гриле - это восторг!|positive
6668|Салаты|Food|Салаты были сытные и довольно вкусные, но как-то не запомнились.|neutral
6668|Порции|Food|Порции не огромные, но и не маленькие, мы наелись и не решились еще взять по десерту, хотя официант очень советовал и хвалил их десерты.|neutral
6668|десерту|Food|Порции не огромные, но и не маленькие, мы наелись и не решились еще взять по десерту, хотя официант очень советовал и хвалил их десерты.|neutral
6668|официант|Service|Порции не огромные, но и не маленькие, мы наелись и не решились еще взять по десерту, хотя официант очень советовал и хвалил их десерты.|neutral
6668|десерты|Food|Порции не огромные, но и не маленькие, мы наелись и не решились еще взять по десерту, хотя официант очень советовал и хвалил их десерты.|positive
6668|квартиру|Whole|Так что, у нас есть повод придти в квартиру еще раз!|positive
6668|персоналу|Service|"Хочу сказать большое спасибо ""ночному персоналу"" ресторана, который сделал наш поздний ужин таким приятным!"|positive
6668|ресторана|Whole|"Хочу сказать большое спасибо ""ночному персоналу"" ресторана, который сделал наш поздний ужин таким приятным!"|positive
6668|ужин|Food|"Хочу сказать большое спасибо ""ночному персоналу"" ресторана, который сделал наш поздний ужин таким приятным!"|positive
9662|Суп-вино|Whole|"Были вчера компанией 6 человек в ""Суп-вино""."|neutral
9662|Столик бронировали|Service|Столик бронировали заранее, что, думаю, всегда стоит делать в таким небольших ресторанах.|neutral
9662|ресторанах|Whole|Столик бронировали заранее, что, думаю, всегда стоит делать в таким небольших ресторанах.|neutral
9662|Интерьер|Interior|Интерьер приятный, абсолютно ненавязчивый, уютный, высокие столики удобны, музыка тихая, не мешает общаться.|positive
9662|столики|Interior|Интерьер приятный, абсолютно ненавязчивый, уютный, высокие столики удобны, музыка тихая, не мешает общаться.|positive
9662|музыка|Interior|Интерьер приятный, абсолютно ненавязчивый, уютный, высокие столики удобны, музыка тихая, не мешает общаться.|positive
9662|Меню|Food|Меню интересное, всё очень вкусно, приемлемо по цене, готовится очень быстро!!!|positive
9662|цене|Price|Меню интересное, всё очень вкусно, приемлемо по цене, готовится очень быстро!!!|positive
9662|обслуживание|Service|Много комментариев про плохое обслуживание, но они все старые, а вот нас обслуживал очень приятный молодой человек , вежливый и с чувством юмора.|negative
9662|обслуживал|Service|Много комментариев про плохое обслуживание, но они все старые, а вот нас обслуживал очень приятный молодой человек , вежливый и с чувством юмора.|positive
9662|молодой человек|Service|Много комментариев про плохое обслуживание, но они все старые, а вот нас обслуживал очень приятный молодой человек , вежливый и с чувством юмора.|positive
9662|Блюда|Food|Блюда менялись незаметно, напитки принесли сразу же после заказа.|neutral
9662|напитки|Food|Блюда менялись незаметно, напитки принесли сразу же после заказа.|neutral
18430|заведение|Whole|В прошлую субботу посетили с друзьями это заведение.|neutral
18430|официант|Service|Начилось все не с очень приятных моментов, т.к когда мы пришли туда, то оказалось что нет свободных столиков и только спустя наверное минут 20 официант все нашел нам подходящий стол.|positive
18430|заведение|Whole|В целом заведение понравилось, и обстановка, и интерьер, и меню.|positive
18430|обстановка|Interior|В целом заведение понравилось, и обстановка, и интерьер, и меню.|positive
18430|интерьер|Interior|В целом заведение понравилось, и обстановка, и интерьер, и меню.|positive
18430|меню|Food|В целом заведение понравилось, и обстановка, и интерьер, и меню.|positive
18430|обслуживание|Service|Из плюсов: достаточно быстро обслуживание несмотря на огромное количество людей, хорошая атмосфера(играли диджеи) для субботнего вечера, большой выбор еды и алкогольных напитков(хотя мы так и не поели, но алкоголя было выпито много))).|positive
18430|атмосфера|Interior|Из плюсов: достаточно быстро обслуживание несмотря на огромное количество людей, хорошая атмосфера(играли диджеи) для субботнего вечера, большой выбор еды и алкогольных напитков(хотя мы так и не поели, но алкоголя было выпито много))).|positive
18430|еды|Food|Из плюсов: достаточно быстро обслуживание несмотря на огромное количество людей, хорошая атмосфера(играли диджеи) для субботнего вечера, большой выбор еды и алкогольных напитков(хотя мы так и не поели, но алкоголя было выпито много))).|positive
18430|алкогольных напитков|Food|Из плюсов: достаточно быстро обслуживание несмотря на огромное количество людей, хорошая атмосфера(играли диджеи) для субботнего вечера, большой выбор еды и алкогольных напитков(хотя мы так и не поели, но алкоголя было выпито много))).|positive
18430|алкоголя|Food|Из плюсов: достаточно быстро обслуживание несмотря на огромное количество людей, хорошая атмосфера(играли диджеи) для субботнего вечера, большой выбор еды и алкогольных напитков(хотя мы так и не поели, но алкоголя было выпито много))).|neutral
18430|выпито|Food|Из плюсов: достаточно быстро обслуживание несмотря на огромное количество людей, хорошая атмосфера(играли диджеи) для субботнего вечера, большой выбор еды и алкогольных напитков(хотя мы так и не поели, но алкоголя было выпито много))).|neutral
18430|музыка|Interior|Минусы: показалось, что слишком громко играла музыка; отсутствие подсветки над столом(хотя над некоторыми другими свет все же был), из-за чего пришлось подсвечивать меню телефоном и наверное главный минус для меня-это то, что в таком большом заведении не оказалось место для гардероба, вследствие чего наши куртки постоянно падали на пол с дивана.|negative
18430|заведении|Whole|Минусы: показалось, что слишком громко играла музыка; отсутствие подсветки над столом(хотя над некоторыми другими свет все же был), из-за чего пришлось подсвечивать меню телефоном и наверное главный минус для меня-это то, что в таком большом заведении не оказалось место для гардероба, вследствие чего наши куртки постоянно падали на пол с дивана.|negative
18430|депозит 5 тыс|Price|За наш стол попросили депозит 5 тыс, но для большой компании это не так уж много, мы, например, оставили там 8 тыс.|positive
18430|заведением|Whole|Но несмотря на все минусы, остались вполне довольными этим заведением, думаю что посетим еще не раз.|positive
18430|официанта|Service|Ну и приятная мелочь в конце, попросили у официанта дисконтную карту и он нам ее дал.|positive
14190|места|Whole|Мы с молодым человеком любим открывать новые места..разные рестораны..особенно итальянские.|neutral
14190|рестораны|Whole|Мы с молодым человеком любим открывать новые места..разные рестораны..особенно итальянские.|neutral
14190|ресторан|Whole|Нашла по рейтингу ресторан, пришли, все гости сидели на террасе (лето все таки), а мы сели внутри (поближе к конждиционеру)).|neutral
14190|Интерьер|Interior|Интерьер очень уютный.|positive
14190|пиццу|Food|Сидели прямо напротив кухни (где пиццу готовят) около окна.|neutral
14190|пицца|Food|Есть отзывы, что пахнет кухней..но я не особо заметила..да и легкий аромат пиццы думаю только аппетита прибавит) Начиталась отзывов, что хорошая пицца - взяли именно ее, и остались очень довольны!!|positive
14190|ресторанах|Whole|Во всех итальянских ресторанах беру тирамису, хлебную козинку и ...захожу в туалет.|neutral
14190|тирамису|Food|Во всех итальянских ресторанах беру тирамису, хлебную козинку и ...захожу в туалет.|neutral
14190|хлебную козинку|Food|Во всех итальянских ресторанах беру тирамису, хлебную козинку и ...захожу в туалет.|neutral
14190|туалет|Interior|Во всех итальянских ресторанах беру тирамису, хлебную козинку и ...захожу в туалет.|neutral
14190|заведению|Whole|Таким образом я ставлю оценку заведению.|neutral
14190|Хлеб|Food|Хлеб должен быть свежий, тираму таять во рту, а на туалетах не должны экономить!!|positive
14190|тираму|Food|Хлеб должен быть свежий, тираму таять во рту, а на туалетах не должны экономить!!|positive
14190|десерт|Food|Все понравилось, десерт волшебный!|positive
14190|Официантка|Service|Мило посидели, в окно видела Спас на крови...романтик) Официантка вежливая очень.|positive
14190|Напитки|Food|Напитки принесла быстро...да и еду совсем не пришлось ждать!|neutral
14190|еду|Food|Напитки принесла быстро...да и еду совсем не пришлось ждать!|neutral
14190|атмосферу|Interior|в общем большое спасибо за атмосферу и угощения.|positive
14190|угощения|Food|в общем большое спасибо за атмосферу и угощения.|positive
2107|заведение|Whole|Случайно зашли в это заведение с друзьями.|positive
2107|втором этаже|Interior|Мы сидели на улице, на втором этаже в это время проходил банкет.|neutral
2107|официанта|Service|Прошло 15 минут - ни пледа, ни официанта.|negative
2107|пледы|Service|Сходили сами, забрали пледы.|negative
2107|Чай|Food|Чай принесли спустя минут 10 после заказа.|neutral
2107|принесли|Service|Потом, спустя минут 20 принесли 1 салат.|negative
2107|салат|Food|Потом, спустя минут 20 принесли 1 салат.|neutral
2107|принесли|Service|Прошло еще минут 20 принесли 1 горячее (заказ был сделан на 6-х человек).|negative
2107|горячее|Food|Прошло еще минут 20 принесли 1 горячее (заказ был сделан на 6-х человек).|neutral
